word;d;type;t
absolutist;absolutista;adj;{adj} /?�b.s??lu.t?st/ (of or pertaining to absolutism)
absolutive case;caso absolutivo {m};n;{n} (case used to indicate the patient or experiencer of a verb�s action)
absolve;"absolver, eximir, dispensar, exculpar, exonerar";v;{v}
absolve;"absolver, exculpar";v;{v} /�b?z?lv/ (set free)
absolve;absolver;v;{v} (pronounce free or give absolution)
absorb;absorber;v;{v}
absorb;absorber;v;{v} /�b?s?rb/ (to suck up or drink in )
absorbed;"absorto, ensimismado";adj;{adj} /�b?s??bd/ (fully occupied with one's thoughts; engrossed)
absorbency;absorbencia {f};n;{n} /�b.s??.bn?.si/ (absorbency)
absorbent;absorbente;adj;{adj} /�b?s?r.bn?t/ (absorbing)
absorbent;absorbente {m};n;{n} (anything which absorbs)
absorbing;absorbente;adj;{adj} /�b?z?r.b??/ (engrossing)
absorption;absorci�n {f};n;{n} /�b?s??p.?n?/ (act or process of absorbing or sucking in anything)
absorption;concentraci�n {f};n;{n} (entire occupation of the mind)
abstain;abstenerse;v;{v} /?b?ste?n/ (refrain from)
abstain;retener;v;"{v} (hinder, withhold)"
abstain;abstenerse;v;{v} (refrain from voting)
abstainer;abstemio {m};n;{n} /�b?ste?.n?/ (one who abstains)
abstemious;"sobrio, abstemio";adj;{adj} /�b?sti.mi.?s/ (abstaining from wine)
abstemious;abstemio;adj;"{adj} (marked by, or spent in, abstinence)"
abstemious;sobrio {m};adj;{adj} (sparing in diet)
abstemious;abstemio;adj;{adj} (sparingly used; used with temperance or moderation)
abstention;abstenci�n {f};n;{n} /�b?st?n.?n?/ (the act of abstaining)
abstergent;abstergente;n;{n} /�b?st?.d??n?t/ (a substance used in cleansing)
abstersion;abstersi�n {f};n;{n} /�b?st?.?n?/ (the act of cleaning)
abstinence;"vigilia {f}, abstinencia {f}";n;{n} /?�b.st?.nn?s/ (the act or practice of abstaining)
abstinence;abstinencia del alcohol;n;"{n} (specifically, abstinence from alcohol)"
abstinence;vigilia {f};n;{n} (the practice of self-denial)
abstinent;abstinente;adj;{adj} /?�b.st?.nn?t/ (refraining from indulgence)
abstract;abstracto;adj;{adj} /�b?str�kt/
abstract;resumen {m};n;{n} /?�b?str�kt/ (an abrigement or summary)
abstract;extracto {m};n;{n} (an extract of a vegetable substance)
abstract;"abstraer, extraer";v;{v}
abstract;abstraer;v;{v} /?�b.str�kt/ (to separate; to remove; to take away)
abstraction;abstracci�n {f};n;{n} /�b?st?�k.?n?/ (act of abstracting)
abstractionism;abstraccionismo {m};n;{n} /�b?st?�k.?n???z.m?/ (abstract art)
abstractionist;abstraccionista {m} {f};n;{n} /�b?st?�k.??n.?st/ (someone who paints or creates abstract art)
abstract noun;sustantivo abstracto {m};n;{n} /?�b?str�kt na?n/ (a noun that denotes an abstract concept)
abstract of title;resumen de t�tulo {m};n;{n} /?ta?.tl?/ (epitome of the evidences of ownership)
abstruse;abstruso {m};adj;{adj} /�b?strus/ (difficult to comprehend)
absurd;absurdo;adj;{adj} /�b?s?d/ (contrary to reason or propriety)
absurdity;absurdo {m};n;{n} /�b?s?d.?.ti/ (the quality of being absurd)
Abu Dhabi;Abu Dhabi;prop;{prop} /??.bu ?d?.bi/ (capital of UAE)
abundance;abundancia;n;{n} /??b?n.dn?s/ (ample sufficiency)
abundant;"abundante, copioso, cuantioso";adj;{adj} /??b?n.dn?t/ (fully sufficient; plentiful)
abundantly;abundantemente;adv;{adv} /??b?n.dn?t.li/ (in an abundant manner)
abundant number;n�mero abundante {m};n;{n} /??b?n.dn?t ?n?m.b?/ (abundant number)
Abundius;Abundio {m};prop;{prop} (male given name)
abuse;abuso {m};n;{n}
abuse;abuso {m};n;{n} /??bjus/ (improper usage)
abuse;abuso {m};n;{n} (physical maltreatment)
abuse;abuso sexual {m};n;{n} (sexual assault)
abuse;abusar;v;{v} /??bjuz/
abuse of discretion;abuso de discreci�n {m};n;{n}
abuser;abusador {m};n;{n} /??bju.z?/ (one who abuses)
abusio;;n;{n} (catachresis) SEE:
abusive;abusivo;adj;{adj} /??bju.s?v/ (practicing abuse)
abut;bordear;v;{v} /??b?t/ (to border on)
abutment;estribo {m};n;{n} /??b?t.mn?t/ (state of abutting)
abysm;abismo {m};n;{n} /??b?z.m?/ (abyss)
abysmal;"abismal, insondable";adj;"{adj} /??b?z.ml?/ (pertaining to, or resembling an abyss; bottomless; unending; profound)"
abysmal;"atroz, desastroso";adj;{adj} (extremely bad)
abyss;"abismo {m}, sima {f}";n;{n} /??b?s/ (a bottomless or unfathomed depth)
abyssal;abisal;adj;{adj} /??b?s.l?/ (belonging to the ocean depths)
Abyssinia;Abisinia {f};prop;{prop} /?�b.??s?n.i.?/ (historical name of Ethiopia)
Abyssinian;abisinio;adj;{adj} /?�b.??s?n.i.?n/ (of or pertaining to Abyssinia)
Abyssinian;"abisinio {m}, abisinia {f}";n;{n} (a native of Abyssinia)
abzyme;abzima {f};n;{n} (antibody with catalytic properties)
AC;"CA, corriente alterna";initialism;{initialism} (alternating current)
acacia;acacia {f};n;{n} /??ke?.??/ (shrub or tree)
academic;acad�mico;adj;{adj} /?�k.??d?m.?k/ (belonging to an academy or other higher institution of learning)
academic;te�rico;adj;{adj} (having no practical importance)
academic;"acad�mico {m}, escolar {m}";n;{n}
academic;"acad�mico {m}, escolar {m}";n;"{n} (member of an academy, college, or university)"
academically;acad�micamente;adv;{adv} /?�k.??d?m.?k.?.li/ (in an academic style or way)
academician;acad�mico {m};n;{n}
academician;"acad�mico {m}, acad�mica {f}, academista {m} {f}";n;{n} /?�k.?.d??m?.?n?/ (member of an academy)
academy;academia {f};n;{n}
academy;academia {f};n;{n} /??k�d.?.mi/ (learned society)
academy;cantera {f};n;{n} (specialized school)
Acadian;acadio;adj;{adj} /??ke?.di.n?/ (Of or pertaining to Acadia)
acalycine;acalicino;adj;{adj} /?ei?ke?.l?.sa?n/ (without a calyx)
acanthaceous;acant�ceo;adj;{adj} /?�k.n???e?.??s/ (armed with prickles)
acanthaceous;acant�ceo;adj;{adj} (pertaining to the acanthus family)
acanthocyte;acantocito {m};n;{n} /\??k�n.?o??sa?t/ (spiny cell)
acanthus;acanto {m};n;{n} /??k�n.??s/ (plant)
acanthus;acanto {m};n;{n} (ornament)
a cappella;a cappella;adv;{adv} /?? k?.?p?l.?/ (performed by a choir with no instrumental accompaniment)
acarbose;acarbosa {f};n;{n} /e? 'k?r bo?s/ (antidiabetic drug)
acarpous;acarpo;adj;{adj} /e?.?k??.p?s/ (not producing fruit)
acaulescent;acaule;adj;{adj} /?�k.?.?l?s.?nt/ (having no stem)
accede;"subir, acceder";v;{v} /�k.?sid/ (to enter upon an office or dignity)
accede;"acceder, consentir";v;{v} (to agree to a proposal or view)
accedie;;n;{n} (acedia) SEE:
accelerate;acelerar;v;{v} /?k.?s?l.?.?re?t/ (to cause to move faster)
accelerate;acelerarse;v;{v} (to become faster)
accelerate;"acelerar, apresurar";v;{v} (to hasten)
accelerate;acelerar;v;{v} (to quicken natural or ordinary progression or process)
acceleration;aceleraci�n;n;{n} /?k.?s?l.?.??e?.??n/ (act or state)
