word;d;type;t
German;alem�n;adj;{adj} (of or relating to the country of Germany)
German;alem�n;adj;{adj} (of or relating to the German language)
German;alem�n;adj;{adj} (of or relating to the German people)
German;"alem�n {m}, alemana {f}";n;{n} /?d???m?n/ (German person)
German;"germano {m}, germana {f}";n;{n} (member of a Germanic tribe)
German;alem�n {m};prop;{prop} (the German language)
German chamomile;manzanilla de Castilla {f};n;{n} (annual plant)
German cockroach;"cucaracha alemana {f}, cucaracha rubia {f}, chiripa {f} [Venezuela]";n;{n} (
German Democratic Republic;Rep�blica Democr�tica Alemana;prop;{prop} (East Germany from 1949-1990)
germane;"relacionado, relacionada";adj;{adj} /d???me?n/ (related to the topic being discussed)
Germanic;germ�nico {m};prop;{prop} /d???(?)?m�n.?k/ (early language)
Germanic;germ�nico {m};prop;{prop} (group of Indo-European languages)
Germanically;germ�nicamente;adv;{adv} (In a Germanic manner)
Germanism;germanismo;n;{n} (a word or idiom of the German language)
germanium;germanio {m};n;{n} /d???me?ni?m/ (chemical element)
germanium tetrahydride;;n;{n} (germane) SEE:
German measles;;n;{n} (the disease rubella) SEE:
Germano-;germano-;prefix;{prefix} (relating to Germany and German culture)
germanomethane;;n;{n} (germane) SEE:
germanophilia;germanofilia {f};n;"{n} (the love of the country, culture or people of Germany)"
German Shepherd;pastor alem�n {m};n;{n} (Medium sized breed of dog)
Germany;Alemania {f};prop;{prop} /?d???.m?.ni/ (country in Central Europe which has Berlin as its capital city)
germinate;germinar;v;{v} (sprout or produce buds)
germination;germinaci�n {f};n;{n} (process of germinating)
germ warfare;;n;{n} (the use of harmful organisms as a weapon) SEE:
gerontology;gerontolog�a {f};n;{n} (branch of science)
Gertrude;Gertrudis;prop;{prop} (female given name)
gerund;gerundio {m};n;{n} /?d??r?nd/ (verb form functioning as a verbal noun)
gerund;gerundio {m};n;{n} (verb form functioning as an adverb)
gerundive;gerundivo {m};n;{n} /d???r?nd?v/ (Latin verbal adjective that describes obligation or necessity)
gesture;gesto {m};n;{n} (act or remark)
gesture;gesto {m};n;{n} (motion of the limbs or body)
get;"volverse, convertirse en; (get + <adjective> is often translated by a reflexive verb in Spanish; get drunk = emborracharse)";v;{v} (become)
get;ser;v;{v} (colloquial: be)
get;captar;v;{v} (colloquial: understand)
get;"conseguir, obtener";v;{v} /??t/ (obtain)
get;recibir;v;{v} (receive)
get ahead;ir adelante;v;{v}
get along;llevarse bien con;v;"{v} (interact or coexist well, without argument or trouble)"
get a move on;;v;{v} (hurry up) SEE:
get around;sortear;v;{v}
get a word in edgeways;;v;{v} (get a word in edgewise) SEE:
get a word in edgewise;obtener una palabra en canto;v;{v} (to break into a conversation)
get drunk;emborracharse;v;{v} (to intoxicate oneself with alcohol)
get drunk;emborrachar;v;{v} (transitive; to make drunk)
get high;drogarse;v;{v} (get high)
get in;"subir, abordar";v;{v} (to board)
get in;acceder;v;{v} (to enter)
get in;entrar;v;{v} (to secure membership)
get lost;"�vete a ba�ar!, ��ndate! , �vete!";interj;{interj} (Go away!)
get lost;perderse;v;{v} (become lost)
get married;casarse;v;{v} (become married)
get off;bajarse;v;{v} (
get off;follar;v;{v} (
get off;librarse;v;{v} (To incur mild consequences)
get off;bajarse;v;{v} (To move from being on something to not being on it)
get off;irse;v;{v} (To stop touching or interfering with something or someone)
get off;descender;v;{v} (
get on;tardar;v;{v} (to become late)
get on;envejecer;v;{v} (to become old)
get on;montar;v;{v} (to board or mount)
get on;montar;v;{v} (to enter (a vehicle))
get on;llevarse bien;v;{v} (to have a good relationship)
get one's affairs in order;;v;{v} (to prepare for the end of life as it used to be) SEE:
get one's ass in gear;mover el culo;v;{v} (to exert effective effort)
get one's wires crossed;cruz�rsele los cables (a alguien);v;{v} (to get confused)
get on with;;v;{v} (get along with) SEE:
get on with;"(proceed) hacer, realizar, proceder con; (begin) comenzar, empezar; (continue) continuar con, seguir con, proseguir con";v;{v} (proceed with)
get out;salir;v;{v} (1. To leave or escape)
get out;salir;v;{v} (5. To spend free time out of the house)
get out;"lanzar, publicar";v;{v} (6. To publish something)
get out of bed on the wrong side;;v;{v} (to start the day in a bad mood) SEE:
get out of here;"�vete a ba�ar!, �ndate";interj;{interj} (command to leave)
get outta here;;interj;{interj} (get out of here) SEE:
get over;superar;v;"{v} (to forget, and move on)"
get over;superar;v;{v} (to overcome)
get rid of;"deshacerse, quitar";v;{v} (to remove)
get-together;quedada {f};n;{n} ((informal) a meeting or gathering; a party or social function)
get to the point;ir al grano;v;{v} (State directly)
get up;levantarse;v;{v} (to rise from one's bed)
get up on the wrong side of the bed;levantarse del lado equivocado de la cama;v;{v} (to feel irritable without a particular reason)
get well soon;"que te mejores pronto, que se mejore pronto, mej�rate";phrase;{phrase} (indicating hope that the listener recovers)
geyser;g�iser {m};n;{n} /??a?z?/ (boiling spring)
Ghana;Ghana;prop;{prop} (The Republic of Ghana)
Ghanaian;ghan�s;adj;"{adj} (of, from, or pertaining to Ghana or the Ghanaian people)"
Ghanaian;ghan�s;n;{n} (person from Ghana or of Ghanaian descent)
Ghanan;;adj;{adj} (Ghanaian) SEE:
Ghanan;;n;{n} (Ghanaian) SEE:
ghastly;"espantoso, horripilante";adj;{adj} /??�s(t).li/ (horrifyingly shocking)
Gheg;guego;prop;{prop} (Gheg)
Ghent;Gante;prop;"{prop} (capital city of the province of East Flanders, Belgium)"
gherkin;pepinillo;n;{n} (small cucumber)
ghetto;gueto {m};n;{n} (area of a city in which Jews were concentrated)
ghetto blaster;;n;{n} (powerful portable stereo system) SEE:
ghost;;n;{n} (ghostwriter) SEE:
ghost;;n;{n} /?o?st/ (soul) SEE:
ghost;"fantasma {m}, espectro {m}, esp�ritu {m}, aparecido {m}, aparici�n {f}, sombra {f}, alma {f}";n;{n} (spirit appearing after death)
ghostly;fantasmal;adj;{adj} (pertaining to ghosts)
Ghost of Christmas Future;;prop;{prop} (Ghost of Christmas Yet to Come) SEE:
Ghost of Christmas Past;Fantasma de las Navidades Pasadas {m};prop;{prop} (the fictional ghost)
Ghost of Christmas Yet to Come;Esp�ritu de las Navidades Futuras {m};prop;{prop} (the fictional ghost)
ghost story;"cuento de terror, cuento de miedo, cuento de horror, cuento de suspenso";n;{n} (A story about ghosts)
ghost town;"despoblado {m}, pueblo fantasma {m}, ciudad fantasma {f}";n;{n} (deserted town)
ghost train;"tren del terror {m}, tren fantasma, tren infernal {m}";n;{n} (fairground attraction)
ghost writer;;n;{n} (one who writes on behalf of someone else) SEE:
ghostwriter;negro {m};n;{n} (professional writer for another person)
ghoul;"gul {m}, gol {m}";n;{n} /???l/ (a spirit said to feed on corpses)
giant;gigantesco;adj;{adj} (giant)
giant;gigante {m};n;{n} /?d?a?.?nt/ (mythical human)
giant anteater;oso hormiguero gigante {m};n;{n} (species)
giant forest hog;hil�quero {m};n;{n} (large pig)
giant squid;"calamar gigante {m}, megaluria {f}";n;"{n} (Any of several species of very large squid, of the family Architeuthidae)"
giant star;estrella gigante {f};n;{n} (star that has stopped fusing hydrogen)
gibberish;"algarab�a {f}, farfulla {f}, monserga {f}";n;{n} /?d??b.?.???/ (unintelligible speech or writing)
gibberish;"galimat�as {m} {p}, tonter�as {f} {p}, memeces {f} {p}";n;{n}
gibberish;"jerga {f}, galimat�as {m}";n;{n} (needlessly obscure or overly technical language)
gibbet;"horca {f}, pat�bulo {m}, cadalso {m}";n;{n} /?d??b?t/ (An upright post with a crosspiece used for execution and subsequent public display; a gallows)
gibbon;gib�n {m};n;{n} (small ape)
gibbous;;adj;{adj} /???b?s/ (humpbacked) SEE:
Gibraltar;Gibraltar {m};prop;{prop} (British overseas territory)
Gibraltar;;prop;{prop} (Strait of Gibraltar) SEE:
Gibraltarian;gibraltare�o;adj;{adj} /d??.b??l?te?(?).i?.?n/ (of or pertaining to Gibraltar)
Gibraltarian;"gibraltare�o {m}, gibraltare�a {f}";n;{n} (native or inhabitant of Gibraltar)
giddyup;arre;interj;{interj} (directed at a horse)
Gideon;Gede�n;prop;{prop} (biblical character)
gift;"don {m}, talento {m}";n;{n} (A talent or natural ability)
gift;"regalo {m}, presente {m}";n;"{n} /??ft/ (Something given to another voluntarily, without charge)"
gift;"regalar, dar";v;{v} ((transitive) To give (as a gift) to)
gig;"contrato para tocar, empleo";n;{n} /???/ (performing engagement by a musical group)
giga-;giga-;prefix;{prefix} /?????/ (SI prefix)
gigantic;"gigante, gigantesco";adj;{adj} /d?a???�nt?k/ (very large)
gigantism;gigantismo {m};n;{n} (condition)
giga-watt;;n;{n} (gigawatt) SEE:
giggle;risita;v;{v} (laugh)
gigolo;gigol� {m};n;{n} (hired escort or dancing partner)
gigolo;gigol� {m};n;{n} (male having sexual relationships for money)
Gij�n;Gij�n;prop;{prop} (town in Spain)
Gilaki;gileki;prop;{prop} (Gilaki language)
Gila monster;monstruo de Gila {m};n;{n} (
Gilbert;Gilberto;prop;{prop} (male given name)
gilded;dorado;adj;{adj} /?g?ld?d/ (having the color or quality of gold)
Giles;Egidio;prop;{prop} (male given name)
Gilgamesh;"Gilgamesh, Gilgam�s";prop;{prop} /???l.??.m??/ (king of Uruk)
gill;;n;{n} (flesh under or about the chin) SEE:
gill;;n;{n} (fleshy flap that hangs below the beak of a fowl) SEE:
gill;"agalla {f}, branquia {f}";n;{n} /??l/ (breathing organ of fish)
gill;laminilla {f};n;{n} (mushroom organ)
gill cover;;n;{n} (operculum) SEE:
gilt;;n;{n} /???t/ (a security issued by the Bank of England) SEE:
gimel;gu�mel {f};n;{n} (Semitic letter)
gimlet;barrena;v;{v} /???m.l?t/
gimmick;estratagema;n;{n} (clever ploy or strategy)
gimmick;truco;n;{n} /???m.?k/ (trick or a device)
gin;ginebra {f};n;{n} (alcoholic beverage)
ginger;jengibre {m};n;{n} /?d??nd??/ (plant)
ginger;jengibre {m};n;{n} (spice)
ginger ale;;n;{n} (ginger beer) SEE:
ginger beer;;adj;{adj} (queer) SEE:
ginger beer;gaseosa de jengibre {f};n;{n} (drink flavoured with ginger)
gingiva;;n;{n} /?d??nd??v?/ (gum) SEE:
gingival;;adj;{adj} (alveolar) SEE:
ginormous;descomunal;adj;{adj} /d?a??n??(?)m?s/ (very large)
ginseng;ginseng {m};n;"{n} /?d??ns??/ (any of several plants, of the genus"
gippo;;n;{n} (Egyptian) SEE:
gippo;;n;{n} (Gypsy) SEE:
giraffe;jirafa {f};n;{n} /d?????�f/ (Mammal)
giraffe weevil;escarabajo jirafa {m};n;{n} (
giraffid;jir�fido {m};n;{n} (any animal of the family Giraffidae)
gird;atar ligar;v;{v} /??d/ (to bind with a flexible rope or cord)
gird;ce�ir rodear cercar encerrar;v;"{v} (to encircle with, or as if with a belt)"
girder;viga {f};n;{n} /???(r)d?(r)/ (main horizontal support in a building)
girl;"ani�ado {m}, ni�ita {f}, maric�n {m}, mujercita {f}, jotito {m}";n;{n} (boy with girl-like qualities)
girl;"ni�a {f} (child), muchacha {f} (teens or twenties), chica {f} (teens or twenties), [Chile] cabra {f}, [Mexico] chamaca {f}, [Spain, Chile, Argentina] lola {f}, [Argentina] nena {f}, [Chile] chiquilla {f}";n;{n} /??l/ (young female)
girl;mujer {f};n;{n} (woman)
girl band;;n;{n} (band consisting of females) SEE:
girlfriend;amiga {f};n;{n} (a female friend)
girlfriend;novia {f};n;{n} /???l?fr?nd/ (a female partner in a romantic relationship.)
girlish;de ni�a;adj;{adj} (like a girl)
girlyman;"maric�n {m}, mariconcito {m}, puto {m}, ni�ita {m}";n;{n}
Girona;Gerona {f};prop;{prop} (city)
girth;cincha {f};n;{n} (equipment)
girth;circunferencia {f};n;{n} /???(?)?/ (the distance measured around an object)
girya;;n;{n} (kettlebell) SEE:
Giselle;Gisel {f};prop;{prop} (female given name)
gist;esencia;v;{v} /d??st/ (the most essential part)
give;"dar, entregar";v;{v} /??v/ (transfer the possession of something to someone else)
give a blowjob;"mamar, [Latin America, slang] petear";v;{v} (to suck)
give away;delatar;v;"{v} (to unintentionally reveal a secret, or expose someone)"
give-away shop;tienda gratis {f};n;{n} (shop)
give birth;"dar a luz, parir";v;{v} (produce new life)
give birth;parir;v;{v} (to become the source of)
give head;hacer una mamada;v;{v} (slang: to perform oral sex on another person)
give in;"ceder, caerse";v;{v} (to collapse or fall)
give in;"ceder, rendirse";v;{v} (to relent or yield)
give me;deme;v;{v} (give me)
give me liberty or give me death;dadme la libertad o dadme la muerte;phrase;{phrase} (give me liberty or give me death)
given;postulado {m};n;{n} /???v?n/ (condition assumed to be true)
given name;"nombre {m}, nombre propio";n;{n} (name chosen for a child by its parents)
give or take;m�s o menos;adv;{adv} (approximately)
give rise to;"engendrar, ocasionar, producir";v;{v} (to be the origin of; to produce)
give someone the creeps;dar ���aras [Mexico];v;{v} (To give someone a feeling of uneasiness or mild fright)
give up;rendirse;v;{v} (admit defeat)
give up;desistir;v;{v} (desist)
give up;renunciar;v;{v} (relinquish)
give up;"rendirse, entregar";v;{v} (surrender)
give up the ghost;"entregar el alma, entregar el alma a Dios, [colloquial] entregar el equipo";v;{v} (to die)
give what for;;v;{v} (scold) SEE:
gizmo;"chisme {m}, trasto {m}, cosa {f}, [Argentina] coso {m}, [Latin America] cuesti�n {f}, aparato {m}";n;{n} (thingy)
gizzard;molleja {f};n;{n} /???z?d/ (portion of the esophagus with ingested grit)
glacier;"glaciar {m}, helero {m}";n;"{n} /??le?.??/ (a large body of ice which flows under its own mass, usually downhill)"
glad;contento;adj;"{adj} /?l�d/ (pleased, happy, satisfied)"
glade;claro;n;{n} /gle?d/ (open space in the woods)
gladiator;;n;{n} (a professional boxer) SEE:
gladiator;"gladiador {m}, bestiario {m}";n;{n} ((
gladiolus;"mesostern�n {m}, cuerpo del estern�n {m}";n;{n} /?l�d??o?l?s/ (center part of the sternum)
gladiolus;estoque {m};n;{n} (plant)
Glagolitic;glagol�tico {m};adj;{adj} (of or pertaining to the Glagolitic alphabet)
Glagolitic;"alfabeto glagol�tico {m}, glagolitsa {m}";n;{n} (the oldest known Slavonic alphabet)
Glagolitic alphabet;;n;{n} (writing system) SEE:
glance;vistazo;n;{n} (a brief or cursory look)
glance;"ojear, echar un vistazo";v;{v} /?l�ns/ (to look briefly at something)
gland;gl�ndula {f};n;{n}
gland;gl�ndula {f};n;{n} (organ that synthesizes and secretes substance)
glandular;glandular;adj;{adj} (pertaining to a gland or glands)
glans;;n;{n} (goiter) SEE:
glans;;n;{n} (pessary) SEE:
glans clitoridis;;n;{n} (clitoral glans) SEE:
glans penis;glande {m};n;{n} /?l�nzpin?s/ (conical vascularized body forming the extremity of the penis)
Glasgow;Glasgow;prop;{prop} /??l�z.?o?/ (the city Glasgow)
Glasgow kiss;;n;{n} (headbutt) SEE:
glasnost;gl�snost {m};n;{n} (a policy of the Soviet Union)
glass;vidrio {m};n;{n} (amorphous non-crystalline substance)
glass;"vaso {m}, copa {f} (stem glass)";n;{n} (drinking vessel)
glass;"[Spain] cristal {m}, [Latin America] vidrio {m}";n;{n} /?l�s/ (substance)
glass;;n;{n} (mirror) SEE:
glasses;;n;"{n} (plural of ""glass"") SEE:"
glasses;;n;{n} (spectacles) SEE:
glass harmonica;arm�nica de cristal {f};n;{n} (a musical instrument)
glassy;vidrioso;adj;"{adj} (dull, expressionless)"
glassy;vidrioso;adj;{adj} (of or like glass)
glaucoma;glaucoma {m};n;{n} (eye disease)
glaucous;glauco;adj;{adj} /??l?.k?s/ (of a pale green colour with a bluish-grey tinge)
glaze;veladura {m};n;{n} (layer of paint)
glaze;"esmalte {m}, frita {f}";n;{n} /?le?z/ (coating on pottery)
glaze;velar;v;{v} (to apply a thin layer of coating)
glean;espigar;v;"{v} (gather information in small amounts, with implied difficulty, bit by bit)"
glean;espigar;v;{v} /?li?n/ (harvest grain left behind after the crop has been reaped)
glee;alegr�a {f};n;"{n} /?li?/ (Joy; merriment; mirth; gayety; particularly, the mirth enjoyed at a feast)"
gleek;"ganga, bicoca, pichincha";n;{n} (good fortune)
gleek;gui�ada;n;{n} /?li?k/ (enticing glance or look)
gleek;"burlarse, tomar el pelo, huevear";v;"{v} (to jest, ridicule, or mock)"
glen;barranca {f};n;{n} /?l?n/ (A secluded and narrow valley)
glide;deslizar;v;"{v} /?l??d/ (To move softly, smoothly, or effortlessly)"
glide;planear;v;"{v} (To fly unpowered, as of an aircraft)"
glider;"planeador {m}, velero {m}";n;{n} /??la?d?(r)/ (aircraft)
glisten;relucir;v;{v} (to reflect light with a glittering luster)
gloaming;crep�sculo;n;{n} /??lo?m??/ (twilight)
global;"mundial , global";adj;{adj} /??lo?b?l/
global cooling;enfriamiento global;n;{n}
globalisation;globalizaci�n {f};n;{n} (process of going to a more interconnected world)
globalisation;mundializaci�n {f};n;{n} (process of making world economy dominated by capitalist models)
globalize;globalizar;v;{v} (To make something global in scope)
globally;globalmente;adv;{adv} (over the entire planet)
global warming;calentamiento global {m};n;{n} (increase in the average temperature of the earth's atmosphere to cause climate change)
globe;globo {m};n;{n} /?lo?b/ (model of Earth)
globe daisy;"zurr�n {m}, cepillo {m}, colubaria {f}, globularia {f}, siemprenjuta {f}";n;{n} (perennial plant)
globefish;pez globo {m};n;{n} (fish)
globetrotter;trotamundos {m};n;{n} (person who travels often to faraway places)
globus cruciger;orbe {m};n;{n} (royal symbol of power)
glockenspiel;campan�logo {m};n;{n} /??l?.kn?.?spil/ (musical instrument)
glomerulonephritis;glomerulonefritis {f};n;{n} (form of nephritis)
glomerulus;glom�rulo {m};n;{n} (small intertwined group of capillaries)
gloomy;oscuro;adj;"{adj} (affected with, or expressing, gloom; melancholy)"
gloomy;l�brego;adj;{adj} /??lumi/ (imperfectly illuminated)
glorious;glorioso;adj;"{adj} /??l??.i.?s/ (exhibiting attributes, qualities, or acts that are worthy of or receive glory)"
glorious;glorioso;adj;{adj} (splendid; resplendent; bright; shining)
glory;gloria {f};n;{n} /??l???i/ (great beauty or splendour)
glory hole;agujero glorioso {m};n;{n} (sex)
gloss;glosa;n;{n} /?l?s/ (brief explanatory note or translation of a difficult or complex expression)
glossary;glosario {m};n;{n} /??l?s??i/ (list of words with their definitions)
glossolalia;glosolalia;n;{n} (speaking in tongues)
glossolalia;;n;{n} (xenoglossy) SEE:
glossy;"brillante, lustroso, reluciente";adj;{adj} (having a reflective surface)
glossy antshrike;batar� luctuoso {m};n;{n} (a passerine bird of the antbird family)
glottis;glotis {f};n;{n} (organ of speech)
glove;"[hat] gorro {m}, [jacket] forro {m}";n;{n} (idiomatic term for a condom)
glove;guante {m};n;{n} /?l?v/ (item of clothing)
glove box;;n;{n} (glove compartment) SEE:
glove compartment;guantera {f};n;{n} (compartment recessed in an automobile�s dashboard)
glover;guantero {m};n;{n} (person who makes gloves)
glow;brillar;v;{v}
glow;"fulgir, fulgurar, iluminar, brillar, arder, resplandecer, estar al rojo vivo";v;{v} (to give off light from heat or to emit light as if heated )
glow;brillar;v;{v} (to radiate some emotional quality like light )
glow;irradiar;v;{v} (to radiate thermal heat )
glow;brillar;v;{v} (to shine brightly and steadily )
glow;;v;{v} (to sweat) SEE:
glow plug;buj�a;n;{n} (plug that heats the combustion chamber)
glowworm;luci�rnaga {f};n;{n} (beetle)
glucometer;gluc�metro {m};n;{n} (glucose meter)
glucose;glucosa {f};n;{n} (simple monosaccharide sugar)
glucosidase;glucosidasa {f};n;{n} (enzyme)
glue;"cola {f}, goma {f}, pegamento {m}";n;{n} /?lu?/ (sticky adhesive substance)
gluon;"glu�n {m}, gluon {m}";n;{n} /??lu??n/ (massless gauge boson)
glutamic acid;�cido glut�mico {m};n;{n} (the nonessential amino acid (?-amino-glutaric acid))
glutamine;glutamina {f};n;{n} (nonessential amino acid; C
gluteal cleft;"hendidura intergl�tea {f}, hendidura gl�tea {f}";n;{n} (gluteal cleft)
gluten;gluten {m};n;{n} /??lu?t?n/ (cereal protein)
glutenin;glutenina {f};n;{n} (gluten protein of wheat)
glutton;"glot�n {m}, hambr�n {m}, comil�n {m}";n;{n} /?gl?.t??n?/ (one who eats voraciously)
glutton;"glot�n {m}, carcay� {m}";n;{n} (zoology)
gluttonous;glot�n;adj;{adj} (given to excessive eating; prone to overeating)
gluttonous;"codicioso, �vido";adj;{adj} (greedy)
gluttony;gula;n;{n} /?l?.t?n.i/ (the vice of eating to excess)
glycemic;gluc�mico;adj;{adj} (glycemic)
glyceraldehyde;gliceraldeh�do {m};n;{n} (the aldotriose formed by oxidation of glycerol)
glyceride;acilglic�rido {m};n;{n} (an ester of glycerol and one or more fatty acids)
glycine;glicina {f};n;{n} (amino acid)
glycogen;gluc�geno {m};n;{n} (polysaccharide that is the main form of carbohydrate storage in animals)
glycolysis;glic�lisis {f};n;{n} (cellular degradation of glucose)
glycosaminoglycan;glucosaminaglicano {m};n;{n} (polysaccharide that is a polymer of amino sugars)
glyph;glifo {m};n;{n} (graphic representation of a character)
glyph;glifo {m};n;"{n} /?l?f/ (carved relief representing a sound, word or idea)"
gnarly;;adj;{adj} /?n?rli/ (gnarled) SEE:
gnat;[mosquito] mosquito {m};n;{n} (any small insect of the order Diptera)
gnathoplasty;gnatoplastia {f};n;{n} (surgery of the jaw)
gnaw;roer;v;{v} /n??/ (to bite something persistently)
gneiss;"neis {m}, gneis {m}";n;{n} /?na?s/ (common and widely-distributed metamorphic rock)
gnocchi;�oquis {m} {p};n;{n} /??o?.ki/ (pasta-like dumplings)
gnome;enano {m};n;"{n} (dwarf, goblin)"
gnome;"duende {m}, pigmeo {m}, gnomo {m}";n;{n} /n??m/ (legendary being)
gnomic;enigm�tico;adj;{adj}
gnomon;estilo {m};n;{n} (pointer on a sundial)
Gnosticism;gnosticismo {m};n;{n} /?n?st?s?z?m/ (Gnosticism)
gnotobiont;;n;{n} (gnotobiot) SEE:
gnu;�u {m};n;{n} /nu?/ (large antelope)
go;intento {m};n;{n} (attempt)
go;ir;v;{v} /?o?/ (to move from a place to another that is further away )
go;"hacerse [roles, professions], ponerse [moods]";v;{v} (to become )
go;destruir;v;{v} (to be destroyed )
go;datar; salir (con);v;{v} (to date )
go;desaparecer;v;{v} (to disappear )
go;hacer;v;{v} (to make (a specified sound) )
Goa;Goa;prop;{prop} (state in western India)
go ahead;"�pase!, adelante, sigue, siga";v;{v} (proceed)
goal;porter�a {f};n;"{n} (in many sports, an area into which the players attempt to put an object)"
goal;meta;n;{n} /?o?l/ (result one is attempting to achieve)
goal;gol {m};n;{n} ((sport) act of placing the object into the goal)
goalkeeper;"arquero {m} [Latin America], golero {m} [Uruguay], guardameta {m} [journalistic and sports commentators usage], portero {m} [Spain]";n;{n} (player that protects a goal)
goaltender;;n;{n} (player that protects a goal) SEE:
goat;"cabra {f}, chivo {m}";n;{n} /?o?t/ (animal)
goatee;"perilla {f}, piocha {f} [Mexico], barba de chivo {f}, chiva {f}, chivera {f}";n;{n} /??o??ti?/ (beard at the center of the chin)
goatherd;cabrero {m};n;{n} (person who tends goats)
goatskin;odre {m};n;{n} (a liquid container)
go away;�vete!;interj;{interj} (dismissal)
go away;"irse, marcharse";v;{v}
go away;"irse, salir, egresar, marcharse";v;{v} (to depart or leave a place)
go away;viajar;v;"{v} (to travel somewhere, especially on holiday or vacation)"
go back;regresar;v;{v} (to return to a place)
gobble;engullir {m};v;{v} (to eat hastily or greedily)
gobble;glugl� {m};v;{v} (to make the sound of a turkey)
goblet;"copa {f}, c�liz {m}";n;{n} (drinking vessel wit a foot and stem)
goblin;duende {m}; trasgo {m};n;{n} /???b.l?n/ (mythical humanoid)
goby;;n;{n} (gudgeon) SEE:
go crazy;;v;{v} (go nuts) SEE:
god;dios {m};n;{n} /??d/ (deity)
god;deificar;v;{v} (deify)
god;idolatrar;v;{v} (idolize)
God;Dios {m};prop;{prop}
God;Dios {m};prop;{prop} /??d/ (single deity of monotheism)
God;Dios {m};prop;{prop} (single male deity of duotheism)
God bless you;�Que Dios te bendiga!;interj;{interj} (said as a short prayer for the recipient)
God bless you;"�Jes�s! [Spain], �salud! [Latin America], �santinos! [Northern Spain, specifically Asturias], ges�ndeit";interj;{interj} (said to somebody who has sneezed)
godchild;"ahijado {m}, ahijada {f}";n;{n} (a child whose baptism is sponsored by a godparent)
goddamn;puto {m};adj;{adj} (intensifier)
goddamn;"�hostia {f}!, �me cago en Dios!";interj;"{interj} (an expression of anger, surprise, or frustration)"
goddamned well;;adv;{adv} (damn well) SEE:
goddaughter;ahijada {f};n;{n} (A female child whose baptism is sponsored by a godparent.)
goddess;diosa {f};n;{n} /???d?s/ (female deity)
goddess;diosa {f};n;{n}
Goddess;diosa;prop;{prop} /???des/ (single goddess of monotheism)
godfather;padrino {m};n;{n} (man present at the christening of a baby who promises to help raise the child in a Christian manner)
God-fearing;"p�o, devoto";adj;{adj} (one who follows the precepts of a religious practice and respects and reveres god and his authority)
god forbid;"�Dios no lo quiera!, �Que Dios lo impida!, �Dios nos libre!";interj;{interj} (Don't let it be)
Godfrey;Godofredo;prop;{prop} (male given name)
God helps those who help themselves;ay�date que Dios te ayudar�;proverb;{proverb} (fortune comes to those who make a genuine effort to accomplish things)
godlike;divino;adj;{adj} (having characteristics of a god)
godly;santo;adj;{adj} /???dli/
godmother;madrina {f};n;{n} (woman present at the christening of a baby who promises to help raise the child in a Christian manner)
God object;objeto todopoderoso {m};n;{n}
godparent;padrino;n;{n}
godson;ahijado {m};n;{n} (Male child whose baptism is sponsored by a godparent.)
Godspeed;vaya con Dios;interj;{interj} /??d?spi?d/ (an expression of good will )
go Dutch;ir a escote;v;{v} (split the cost)
God willing;"si Dios quiere, si Dios le quer�a";interj;{interj} (God willing)
godwit;picopando {m};n;{n} /???dw?t/ (Bird)
go from strength to strength;crecer en fortaleza;v;{v}
go fuck yourself;"�que te jodas!, �vete a la chingada!";interj;{interj} (a variant of fuck you)
go-getter;buscavida {m};n;{n} (one who is motivated or inclined to excel)
goggle;;n;{n} /???.??l/ (a pair of protective eyeglasses) SEE:
goggles;"anteojos de protecci�n {m} {p}, gafas de protecci�n {f} {p}, anteojos {m} {p}, gafas de aviador {m} {p}";n;{n} /???.??lz/ (protective eyewear)
Gogol;G�gol;prop;{prop} (Gogol)
go halfsies;;v;{v} (to share by splitting in half) SEE:
go hand in hand;andar cogidos de la mano;v;{v} (to walk while holding somebody's hand)
go in;;v;{v} (enter) SEE:
going to;ir a;v;{v} (will (future tense))
goitre;"bocio {m}, coto {m} [Bolivia, Colombia, Ecuador, Northwestern Argentina, Peru, Venezuelan Andes - Argentinian and Venezuelan standard usage�: bocio], g�echo {m} [Costa Rica, Nicaragua], g�eg�echo {m} [El Salvador, Guatemala, Honduras, Southern Mexico - Mexican standard usage�: bocio]";n;{n} /????.t?(?)/ (enlargement of the neck)
gold;diana {f};n;{n} (bullseye)
gold;moneda de oro {f};n;{n} (coin)
gold;oro;n;{n} (colour)
gold;medalla de oro {f};n;{n} (gold medal)
gold;oro {m};n;{n} /?o?ld/ (element)
gold;dorado;v;{v} (having the colour of gold)
gold;de oro;v;{v} (made of gold)
Gold Coast;Costa de Oro {f};prop;{prop} (in Australia)
goldcrest;reyezuelo {m};n;{n} (bird)
gold digger;"excavador de oro, excavadora de oro {f}";n;{n} /???ld ?d???(?)/ (someone who digs or mines for gold)
golden;dorado;adj;{adj} (having a colour or other richness suggestive of gold)
golden;"dorado, de oro";adj;"{adj} (marked by prosperity, creativity, etc.)"
golden;"de oro (made of gold), dorado";adj;"{adj} /??o?l.d?n/ (made of, or relating to, gold)"
golden;de oro;adj;{adj} (relating to a fiftieth anniversary)
golden eagle;�guila real {f};n;{n} /????ld?n ?i??l/ (large bird of prey)
goldeneye;porr�n {m};n;{n} /????ldn?.??/ (duck)
Golden Gate Bridge;puente Golden Gate {m};prop;{prop} (suspension bridge in California)
Golden Jackal;chacal dorado {m};n;{n} (
golden plover;;n;{n} (
